Estados,2009,2019,Delta
Brasil,10.9,55,44.1
Rondônia,9.9,59.8,49.9
Acre,5.3,27.5,22.2
Amazonas,4.4,20.7,16.3
Roraima,4.9,24.5,19.6
Pará,3,34.3,31.3
Amapá,8.7,33.3,24.6
Tocantins,11,60.4,49.4
Maranhão,3.7,35,31.3
Piauí,5.6,60.5,54.9
Ceará,11.5,72.4,60.9
Rio Grande do Norte,15.7,68.9,53.2
Paraíba,5.5,65.2,59.7
Pernambuco,11.2,61.3,50.1
Alagoas,7.3,54.9,47.6
Sergipe,9.7,72.5,62.8
Bahia,3.9,49.1,45.2
Minas Gerais,15.1,66.9,51.8
Espírito Santo,13.5,60.9,47.4
Rio de Janeiro,19.1,72.5,53.4
São Paulo,6.1,35.1,29
Paraná,27.9,83,55.1
Santa Catarina,20.2,83.2,63
Rio Grande do Sul,24,65.4,41.4
Mato Grosso do Sul,44.6,83.9,39.3
Mato Grosso,22.8,64.7,41.9
Goiás,23.5,80.1,56.6
Distrito Federal,58.8,86.7,27.9